x_test,y_true,y_pred,correct
intel kadal gurun,2,2,true
anjing buka aib twitter,1,1,true
semangat ayo loyo,4,4,true
pegl rasis orang tidak malu begitu semenjak masuk pemerintahan serba rugi nombok suku marga tidak ngingetin begitu hiiiiiiiii,2,4,false
pdhl anjing,1,1,true
ramai fifa < I-PER/>ganjar < I-PER/>pranowo menpan rb ubah regulasi batasan usia pns,4,4,true
ngantuk banget anjing,1,1,true
sope privasi dipost disosmed bodoh,1,1,true
rosiade buzzer,3,3,true
lelaki bodoh,1,1,true
not me keluarkan duit atm pastu lupa amik duitnya lepas amik card blah huhu bodoh,3,3,true
charge keimanan warga binaan rutan < I-LOC/>pasangkayu dengarkan ceramah < I-PER/>agama ramadhan,4,4,true
bodoh,1,1,true
dikasih bpkb nemu istilah nolong anjing kejepit namanya jaminan disita dilelang peminjam nunggak hutangnya hutang macet hati,1,1,true
bodoh benar sampe kayak begini,1,1,true
waspada provokasi negatif terkait presiden< I-PER/>tial threshold,3,3,true
dekat msia ni melayu isle memang penyakit hati rasis esp parti isle k< I-PER/>onon memang smp la melayu ssh nak,4,4,true
< I-LOC/>nusantara obrolan dimeja makan bareng asisten rmh  < I-PER/>tanggaku salah pengagum < I-PER/>jokowi bi mengagumi < I-PER/>jokowi slalu,4,4,true
dimata hukum hubungan seksual orang dewasa anakanak anak korban data anak diumbar,4,4,true
warna langit kelam < I-LOC/>kufah lautan luka duka malam hati pecinta retak memikul sedih pilu,4,4,true
kaum kadrunista sok arabn jidat gosong udah suci modal gamis kafirn orang simak ka,2,4,false
tertawa anjing komentarnya,1,1,true
buzzer semoga kelindes kontener,3,3,true
ente rud ketum pdip korbankan anaknya orang < I-PER/>ganjar gubernur periode prestasinya zero prestasiminim bingitz mendingan mbak dari hc puan mahal ssos capres pdip kesempatan,4,4,true
anjing ah,1,1,true
itsme beradab tai anjing aku juga malas beradab tua kayak gitu,1,1,true
penunggang < I-PER/>agama versi < I-PER/>agama,4,4,true
kembalikan kapel ku dulu anjing,1,1,true
anjing pungli dimanamana,1,1,true
kecik mak xsekolahkn < I-PER/>agama begini sedap tgn je tulis kesian,4,4,true
mahasiswa demo siarkan tvgiliran koruptor tayangkanoligarki kuat bangsa,3,3,true
mikirnya keren bat ore pakai celana robek potong top tertawa aslinya kayak kekurangan bahan penistaan indeed,4,4,true
asmara ssma bodoh kerja tidak apa-apa presiden seumur hidup kadal gurun,2,2,true
anjing beneran bodoh orang wkwkwkwkwk demo cuman ajang keren kerenan < I-PER/>doi libur syuting,1,1,true
didu buzzer dbyar < I-ORG/>brp yax ksus embat terus bwt buzer itungna kyx begini embat bwt buzer sisaaaaa dapat < I-ORG/>brp kamu buzer uang toilet doang,3,1,false
wf muslim terorss < I-PER/>koo rasis,2,2,true
gampang kemakan click bait banget mbak bodoh kebangetan,1,1,true
< I-PER/>ndar berkeberatan mengajukan gugatan ptun lapor lapor demo ahli hukum,3,3,true
buka gemboknya cupu kamu anjing,1,1,true
baca berita segerombolan penganut < I-PER/>agama nama < I-PER/>agama anut bersukaria menelanjangi perempuan pemandu karaoke mengaraknya melemparkannya laut isis kalah bgmn caramu mengalahkan ideologi,4,4,true
bodoh diselamatkan,1,1,true
demo yes anarkis no,3,3,true
< I-PER/>prim benar benar kamu kakak kamu bunting anjing,1,1,true
< I-PER/>shanty pokoknya jualan < I-PER/>agama auto kaya raya,4,4,true
radikal kadal gurun < I-LOC/>indonesia rusuh kalau korupsi bandar judi,2,2,true
