Content,Label
Pasal 25 UU TPKS padahal udah dibilang kalau keterangan korban bisa ngebuktiin kasus pelecehan seksual. Minimal jadi aparat penegak hukum tuh follow up bertia soal undang-undang biar ga bertindak jalur viral begini. https://t.co/h4tFIGSb9j,1
@onedarwanto @Kanjeng2022 @__RismaWidiono_ � https://t.co/rtocFpc92V,4
"@Abingsanca Karena mereka masih memiliki anggapan bahwa teroris yg ditangkap memiliki keimanan yg sama dan juga menganggap yang ditangkap ini berjuang utk penegakan agama yg sama dengan mereka.

Padahal, terorisme itu tidak ada agamanya, karena tidak ada agama yang menganjurkan penganutnya… https://t.co/5IuFgyEFQM",4
RT @LaingenLisa: Pihaknya akan menggandeng Kemenag untuk mengevaluasi pondok pesantren itu. Sebab di lokasi juga terdapat sekolah madrasah.…,4
"RT @RstmBcl: Di bully, diserang, dipojokan, dari segala arah, bukannya jadi hina, bahkan  CINTA ❤ yang Pak @ganjarpranowo Dapatkan

Cacian…",4
@agama_nusantara MUI sebaiknya bekerja keras untuk mencegah terjadinya pelecehan seksual di pesantren yg semakin marak.,4
"Pak Ganjar Pranowo bikin ngakak saja, sudah berani tipu2 rakyat ya blm tau ya kalau netizen skrg bnyk yg cerdas xixixi blunder lagi aja �

Komeng Cipung Dalai Lama Koruptor Anas Urbaningrum umur 15 aku 15 agnes madrid chelsea Champions league man city monas benzema https://t.co/zhuDzTVFua",1
"Demi apapun ya anjir kalo gue di masa depan bener2 sukses di ranah hukum atau semacamnya. Cuma satu sih yg pengen gue ubah, hukum kebiri yg matiin hawa napsu pelaku pelecehan�� udah itu aja. Jujur gue sih gasuka hukum mati krn itu terlalu mudah wkwkwk tinggal mati doang",1
RT @iwanalidarmawan: Siang ini mereka yang mengatasnamakan relawan Ganjar Pranowo membagikan kaos &amp; dompet di sekitar rumah warga termasuk…,4
"Halang Kenderaan Dan Buat Gangguan Seksual, Perbuatan Pemandu Kelisa Ini Undang Kemarahan Netizen https://t.co/GY4xXEBQ3G",4
"RT @BatuKepla: @cholilnafis Udahlah pak Cholil, ga usah berpolemik. Kalau mau jalankan sesuai konstitusi ya lakukanlah. Pasal 29 sangat jel…",4
"RT @joyo_kacer: @islah_bahrawi Panjang lebar nulis, semangatnya hnya rasis dan kebencian. Tapi yg jelas KETURUNAN CINA HANYA SATU WARNA, it…",4
"@adnrahman Betul apa ustazah tu cakap

In marriage ni sometimes mak bapak dia tak ajar, so isteri/suami lah yang kena ajar kalau dia tak belajar sendiri

Yang penting kena jadi orang yang boleh diajar &amp; jangan bodoh sombong

Dan jangan tunggang agama jugak �",4
RT @zucowi: @fpoemsh Krn demokrat menormalisasi perampokan dan shoplifting dgn alasan woke culture. Org yg melawan peraturan itu akan didak…,4
"RT @Widyarenee: Ini penting u/ terus diingatkan &amp; ditegaskan bahwa warga di Jateng terlarang tuk produksi &amp; jualan petasan n sejenisnya.
Su…",4
"RT @menghanyurkan: kalau sendernya bukan agama I, terus tertarik agama I terus dideketin sama penganut agama I apakah akan ada komen sepert…",4
RT @satriohendri: Akhirnya @hariankompas yang sudah lama menjadi salah satu acuan jurnalisme lurus juga terjebak dalam politik keberpihakan…,3
"7. Muhaimin Iskandar : 85,4%
8. Puan Maharani : 85,2%
9. Erick Thohir : 85%
#PrabowoSubianto #PrabowoUnggul #BangkitBersama",4
"1. Prabowo Subianto : 96,7%
2. Ganjar Pranowo : 91%
3. Anies Baswedan : 89,7%
#PrabowoSubianto #PrabowoUnggul #BangkitBersama",4
Prabowo Subianto unggul dari Gubernur Jawa Tengah Ganjar Pranowo dan Anies Baswedan. #PrabowoSubianto #PrabowoUnggul #BangkitBersama,4
"RT @aciigulung: udah segender, beda agama lagi. miris banget",4
@Maudy_Kadrun Gambar aki2mu,2
