Content,Label
pasal uu tpks udah dikatakan keterangan korban membuktikan pelecehan seksual minimal aparat penegak hukum ikut atas berita undang undang bertindak jalur viral,1
rismawidi< I-PER/>ono,4
memiliki anggapan teroris ditangkap memiliki keimanan menganggap ditangkap berjuang penegakan < I-PER/>agama terorisme < I-PER/>agamanya < I-PER/>agama menganjurkan penganutnya,4
menggandeng kemen< I-PER/>ag mengevaluasi pondok pesantren lokasi sekolah madrasah,4
bully diserang dipojokan arah hina cinta dapatkan cacian,4
< I-LOC/>nusantara <I-ORG/>mui keras mencegah pelecehan seksual pesantren marak,4
< I-PER/>ganjar < I-PER/>pranowo tertawa berani tipu rakyat belum warga internet sekarang banyak cerdas tertawa kekeliruan komentar < I-PER/>gemas dalai koruptor < I-PER/>anas urbaningrum umur < I-PER/>< I-ORG/>< I-PER/>agnes madrid < I-ORG/>chelsea champions le< I-PER/>ague manchaster city monas benzema,1
apapun waw aku benar sukses ranah hukum semacamnya ingin aku ubah hukum kebiri mematikan hawa napsu pelaku pelecehan udah jujur aku tidak suka hukum mati mudah tertawa tinggal mati doang,1
siang mengatasnamakan relawan < I-PER/>ganjar < I-PER/>pranowo memb< I-PER/>agikan kaos dompet rumah warga,4
halang kenderaan gangguan seksual perbuatan pemandu ke< I-PER/>lisa undang kemarahan warga internet,4
udahlah < I-PER/>cholil berpolemik jalankan sesuai konstitusi lakukanlah pasal jel,4
kacer bahrawi lebar nulis semangatnya hnya rasis kebencian keturunan cina warna it,4
ustazah tu cakap in marri< I-PER/>age ni sometimes mak ajar so isterisuami kena ajar belajar kena orang diajar bodoh sombong tunggang < I-PER/>agama jugak,4
demokrat menorma< I-PER/>lisasi perampokan shoplifting alasan woke culture orang melawan peraturan didak,4
warga < I-LOC/>jateng terlarang tuk produksi jualan petasan sejenisnya su,4
sendernya < I-PER/>agama tertarik < I-PER/>agama dideketin penganut < I-PER/>agama komen sepert,4
salah acuan jurnalisme lurus terjebak politik keberpihakan,3
< I-PER/>muhaimin iskandar puan mahal < I-PER/>erick thohir,4
< I-PER/>prabowo subianto < I-PER/>ganjar < I-PER/>pranowo < I-PER/>anies baswedan,4
< I-PER/>prabowo subianto unggul gubernur jawa < I-PER/>ganjar < I-PER/>pranowo < I-PER/>anies baswedan,4
udah segender beda < I-PER/>agama miris sekali,4
kadal gurun gambar akimu,2
istiqomah < I-PER/>roger danuarta cut meyriska ajarkan anak < I-PER/>agama,4
ali memiliki catatan hitam warga wadas kendeng saksi hidup slogan tuan ku rakyat omong kosong,4
kadal gurun tidak mh bnyak malas aje ngider nyari jajanan aye tinggal bogor lupa jajanan bogor yak,4
visit filled dengan happiness < I-PER/>ganjar < I-PER/>pranowos visit to the orphan< I-PER/>age where talented resident mala receives laptop gift from < I-PER/>ganjar,4
lttd border px solid baru msodataplacementsamecellgt,4
sender bingung nanya base kristen pendetanya islam ustadnya masingmasing pemuka < I-PER/>agama sender berharap nanya modelan begini base hadeh aneh sekali,4
